Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33896496	2018-12-25	Hezbollah	Shia,Dissident,(National) Minor Party,Organized Violent,Ideological,Parties,International Religious,Far Left,Social,National Religious	Lebanon	Use conventional military force	190	-10	Israel		Israel	48740819	6	The Jerusalem Post			West Bank	Occupied Palestinian Territory	31.6667	35.25
33896510	2018-12-25	Business (Israel)	Business,Social	Israel	Express intent to meet or negotiate	036	4	Israel		Israel	48740820	5	The Jerusalem Post				Israel	31.779	35.2253
33896515	2018-12-25	Donald Trump	Executive Office,Government,Executive	United States	Express intent to de-escalate military engagement	0356	7	Syria		Syria	48740821	2	The Jerusalem Post				United States	38.8951	-77.0364
33896517	2018-12-25	United States		United States	Mobilize or increase armed forces	154	-7.2	Syria		Syria	48740821	3	The Jerusalem Post				Syria	33.5102	36.2913
33896516	2018-12-25	Recep Tayyip Erdoğan	Elite,Government,Sunni,Parties,Executive Office,(National) Major Party,Executive,Center Right,Ideological,International Religious	Turkey	Criticize or denounce	111	-2	Israel		Israel	48740821	4	The Jerusalem Post				Israel	31.779	35.2253
33896535	2018-12-25	Party Member (Palestinian Territory, Occupied)	Parties	Occupied Palestinian Territory	Make an appeal or request	020	3	Government (Palestinian Territory, Occupied)	Government	Occupied Palestinian Territory	48740826	5	The Jerusalem Post	Hebron		West Bank	Occupied Palestinian Territory	31.5294	35.0938
33896536	2018-12-25	Party Member (Palestinian Territory, Occupied)	Parties	Occupied Palestinian Territory	Rally opposition against	113	-2	Jew (Palestinian Territory, Occupied)	National Religious,Social,International Religious,Jewish	Occupied Palestinian Territory	48740826	5	The Jerusalem Post	Hebron		West Bank	Occupied Palestinian Territory	31.5294	35.0938
33896543	2018-12-25	Yesh Atid	Ideological,Secular,Parties,(National) Major Party	Israel	Make an appeal or request	020	3	Benny Gantz	Government,Military	Israel	48740834	6	The Jerusalem Post				Israel	31.779	35.2253
33896544	2018-12-26	Hassan Rouhani	(National) Major Party,Parties,Executive,Government,Executive Office,Government Religious,Ideological,Defense / Security Ministry,Elite,Far Right	Iran	Make a visit	042	1.9	Turkey		Turkey	48740799	2	The Jerusalem Post				Turkey	39.9167	32.8333
33896546	2018-12-26	Turkey		Turkey	Host a visit	043	2.8	Hassan Rouhani	(National) Major Party,Parties,Executive,Government,Executive Office,Government Religious,Ideological,Defense / Security Ministry,Elite,Far Right	Iran	48740799	2	The Jerusalem Post				Turkey	39.9167	32.8333
33896545	2018-12-26	Turkey		Turkey	Praise or endorse	051	3.4	Syria		Syria	48740799	4	The Jerusalem Post				Turkey	39.9167	32.8333
33896503	2018-12-26	American Jewish Joint Distribution Committee	Nongovernmental Organization (International),Medical / Health IGOs,Jewish,International Religious		Provide aid	070	7	Indonesia		Indonesia	48740802	1	The Jerusalem Post	Kalianda		Provinsi Lampung	Indonesia	-5.73805	105.592
33896524	2018-12-26	Israel		Israel	Engage in negotiation	046	7	Honduras		Honduras	48740807	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33896525	2018-12-26	Honduras		Honduras	Engage in negotiation	046	7	Israel		Israel	48740807	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33896512	2018-12-26	Israel		Israel	Make an appeal or request	020	3	Russia		Russian Federation	48740810	5	The Jerusalem Post	Moscow Kremlin		Moskovskaya Oblast'	Russian Federation	55.7517	37.6178
33896505	2018-12-26	Israel		Israel	Use conventional military force	190	-10	Syria		Syria	48740818	1	The Jerusalem Post	Damascus		Dimashq	Syria	33.5102	36.2913
33895874	2018-12-29	Domestic Affairs (United Kingdom)	Government,Executive,Interior / Home Ministry	United Kingdom	Express intent to meet or negotiate	036	4	Citizen (United Kingdom)	Social,General Population / Civilian / Social	United Kingdom	48739440	2	Al Jazeera English	Dover	Kent	England	United Kingdom	51.1333	1.3
33895925	2018-12-29	Protester (Sudan)	Dissident,Protestors / Popular Opposition / Mobs	Sudan	Demonstrate or rally	141	-6.5	Police (Sudan)	Government,Police	Sudan	48739584	6	Al Jazeera English				Sudan	15.5466	32.5336
33896230	2018-12-29	Wang Yi	Executive,Government,Foreign Ministry	China	Express intent to meet or negotiate	036	4	Ethiopia		Ethiopia	48740304	3	China Daily	Beijing		Beijing Shi	China	39.9075	116.397
33896231	2018-12-29	Wang Yi	Executive,Government,Foreign Ministry	China	Express intent to meet or negotiate	036	4	Burkina Faso		Burkina Faso	48740304	3	China Daily	Beijing		Beijing Shi	China	39.9075	116.397
33896232	2018-12-29	Wang Yi	Executive,Government,Foreign Ministry	China	Express intent to meet or negotiate	036	4	Gambia		Gambia	48740304	3	China Daily	Beijing		Beijing Shi	China	39.9075	116.397
33896233	2018-12-29	Wang Yi	Executive,Government,Foreign Ministry	China	Express intent to meet or negotiate	036	4	Senegal		Senegal	48740304	3	China Daily	Beijing		Beijing Shi	China	39.9075	116.397
33896234	2018-12-29	Wang Yi	Executive,Government,Foreign Ministry	China	Express intent to meet or negotiate	036	4	African Union	Regional,International Government Organization,Regional Diplomatic IGOs		48740304	4	China Daily	Addis Ababa		Adis Abeba Astedader	Ethiopia	9.02497	38.7469
33896235	2018-12-29	Foreign Affairs (China)	Executive,Government,Foreign Ministry	China	Make a visit	042	1.9	Africa			48740304	5	China Daily	Addis Ababa		Adis Abeba Astedader	Ethiopia	9.02497	38.7469
33896236	2018-12-29	Africa			Host a visit	043	2.8	Foreign Affairs (China)	Executive,Government,Foreign Ministry	China	48740304	5	China Daily	Addis Ababa		Adis Abeba Astedader	Ethiopia	9.02497	38.7469
33896304	2018-12-29	China		China	Coerce	170	-7	Criminal (China)	Criminals / Gangs,Dissident	China	48740305	1	China Daily	Guangzhou		Guangdong Sheng	China	23.1167	113.25
33896303	2018-12-29	United Arab Emirates		United Arab Emirates	Grant diplomatic recognition	054	6	Syria		Syria	48740306	4	China Daily	Damascus		Dimashq	Syria	33.5102	36.2913
33896302	2018-12-29	United Arab Emirates		United Arab Emirates	Make statement	010	0	Bahrain		Bahrain	48740306	5	China Daily	Damascus		Dimashq	Syria	33.5102	36.2913
33896275	2018-12-29	China		China	Arrest, detain, or charge with legal action	173	-5	Citizen (China)	General Population / Civilian / Social,Social	China	48740309	2	China Daily	Chaoyang		Guizhou Sheng	China	27.1478	108.883
33896422	2018-12-29	Labor Party (Australia)	Parties,Labor,Social	Australia	Make statement	010	0	Bob Hawke	Elite	Australia	48740689	2	Daily Telegraph	Woodford	Warrnambool	State of Victoria	Australia	-38.3167	142.467
33896475	2018-12-29	Australia		Australia	Coerce	170	-7	Terrorist (Australia)	Rebel,Dissident	Australia	48740690	2	Daily Telegraph	Melbourne	Melbourne	State of Victoria	Australia	-37.814	144.963
33896474	2018-12-29	Peter Dutton	Interior / Home Ministry,Executive,Legislative / Parliamentary,Unicameral,Government	Australia	Make statement	010	0	Government (Australia)	Government	Australia	48740690	6	Daily Telegraph				Australia	-35.2835	149.128
33896480	2018-12-29	Police (Australia)	Police,Government	Australia	Arrest, detain, or charge with legal action	173	-5	Employee (Australia)	Labor,Social	Australia	48740697	4	Daily Telegraph	Westmead	Parramatta	State of New South Wales	Australia	-33.8038	150.988
33896446	2018-12-29	China		China	Make statement	010	0	Vietnam		Vietnam	48740698	2	Daily Telegraph	Beijing		Beijing Shi	China	39.9075	116.397
33896448	2018-12-29	Mohamed Noor	Opposition Major Party (Out Of Government),Parties,(National) Major Party	Malaysia	Make an appeal or request	020	3	Court Judge (United States)	Government,Judicial	United States	48740699	2	Daily Telegraph	Minneapolis	Hennepin County	Minnesota	United States	44.98	-93.2638
33896428	2018-12-29	Australia		Australia	Coerce	170	-7	Terrorist (Australia)	Rebel,Dissident	Australia	48740701	2	Daily Telegraph	Melbourne	Melbourne	State of Victoria	Australia	-37.814	144.963
