Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33978282	2019-01-30	Head of Government (United States)	Executive,Executive Office,Government	United States	Demand	100	-5	Government (Colombia)	Government	Colombia	48905035	1	Reuters News				United States	38.8951	-77.0364
33978378	2019-01-30	Theresa May	Government,Executive,Center Right,Executive Office,(National) Major Party,Parties,Elite,Ideological	United Kingdom	Sign formal agreement	057	8	European Union	Regional,Regional Diplomatic IGOs,International Government Organization		48905399	4	Reuters News	London	Greater London	England	United Kingdom	51.5085	-0.12574
33978379	2019-01-30	European Union	Regional,Regional Diplomatic IGOs,International Government Organization		Sign formal agreement	057	8	Theresa May	Government,Executive,Center Right,Executive Office,(National) Major Party,Parties,Elite,Ideological	United Kingdom	48905399	4	Reuters News	London	Greater London	England	United Kingdom	51.5085	-0.12574
33978396	2019-01-30	Foreign Affairs (Russia)	Foreign Ministry,Executive,Government	Russian Federation	Make statement	010	0	Venezuela		Venezuela	48905545	1	Reuters News				Russian Federation	55.7522	37.6156
33978727	2019-01-30	Heiko Maas	Government,Foreign Ministry,Judicial,Executive	Germany	Make statement	010	0	Venezuela		Venezuela	48906098	1	Reuters - Noticias Latinoamericanas				Venezuela	10.5	-66.9167
33978753	2019-01-30	Head of Government (Mexico)	Executive,Executive Office,Government	Mexico	Make statement	010	0	Pemex	State-Owned Heavy Industrial / Chemical,State Owned Enterprises,Government	Mexico	48906114	1	Reuters News				Mexico	19.4285	-99.1277
33978970	2019-01-30	John R. Bolton	Information / Communication / Transparency NGOs,Nongovernmental Organizations / Activists,Parties,(National) Major Party,Center Right,Ideological	United States	Threaten	130	-4.4	National Security Advisor (Venezuela)	Defense / Security Ministry,Executive,Government	Venezuela	48906501	1	Reuters - Noticias Latinoamericanas				Venezuela	10.5	-66.9167
33978231	2019-02-01	Russia		Russian Federation	Criticize or denounce	111	-2	United States		United States	48904951	2	Al Jazeera English			Washington D.C.	United States	38.9171	-77.0003
33978230	2019-02-01	Maria Zakharova	Government,Foreign Ministry,Executive	Russian Federation	Make statement	010	0	United States		United States	48904951	4	Al Jazeera English			Washington D.C.	United States	38.9171	-77.0003
33978195	2019-02-01	United States		United States	Meet at a 'third' location	044	2.5	Taliban	International Religious,Fundamentalist,Ideological,Sunni,Insurgents,Dissident	Afghanistan	48904977	2	Korea Times				Afghanistan	34.4961	69.1055
33978196	2019-02-01	Taliban	International Religious,Fundamentalist,Ideological,Sunni,Insurgents,Dissident	Afghanistan	Meet at a 'third' location	044	2.5	United States		United States	48904977	2	Korea Times				Afghanistan	34.4961	69.1055
33978199	2019-02-01	Seoul Central District Court	Government,Judicial	South Korea	Arrest, detain, or charge with legal action	173	-5	Moon Jae-in	Government,Executive,Executive Office	South Korea	48904984	4	Korea Times	Seoul		Seoul-teukbyeolsi	South Korea	37.5683	126.978
33978189	2019-02-01	Court Judge (South Korea)	Government,Judicial	South Korea	Arrest, detain, or charge with legal action	173	-5	Governor (South Korea)	Local,Provincial,Government	South Korea	48904986	1	Korea Times			Gyeongsangnam-do	South Korea	35.25	128.25
33978188	2019-02-01	Democratic Party (South Korea)	Parties	South Korea	Criticize or denounce	111	-2	Court Judge (South Korea)	Government,Judicial	South Korea	48904986	2	Korea Times			Gyeongsangnam-do	South Korea	35.25	128.25
33978193	2019-02-01	Envoy (United States)	Government,Executive,Foreign Ministry	United States	Express intent to meet or negotiate	036	4	Citizen (North Korea)	Social,General Population / Civilian / Social	North Korea	48904989	3	Korea Times	Yongbyon		P'yongan-bukto	North Korea	39.8133	125.804
33978227	2019-02-01	Donald Trump	Executive Office,Government,Executive	United States	Consult	040	1	Head of Government (China)	Executive Office,Government,Executive	China	48904991	1	Korea Times			Washington D.C.	United States	38.9171	-77.0003
