Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33959064	2019-01-18	Édouard Philippe	Elite,Government,Executive Office,Executive	France	Make a visit	042	1.9	France		France	48864207	1	Euronews	Calais	Departement du Pas-de-Calais	Region Nord-Pas-de-Calais	France	50.9519	1.85635
33959065	2019-01-18	France		France	Host a visit	043	2.8	Édouard Philippe	Elite,Government,Executive Office,Executive	France	48864207	1	Euronews	Calais	Departement du Pas-de-Calais	Region Nord-Pas-de-Calais	France	50.9519	1.85635
33959066	2019-01-18	Germany		Germany	Make an appeal or request	020	3	Russia		Russian Federation	48864213	1	Euronews	Berlin		Land Berlin	Germany	52.5244	13.4105
33959034	2019-01-18	10 Downing Street	Government,Executive,Executive Office	United Kingdom	Discuss by telephone	041	1	Theresa May	Center Right,Ideological,(National) Major Party,Parties,Government,Executive,Executive Office,Elite	United Kingdom	48864217	1	Euronews	Brussels	(Bruxelles-Capitale)	Bruxelles-Capitale	Belgium	50.8504	4.34878
33959035	2019-01-18	Theresa May	Center Right,Ideological,(National) Major Party,Parties,Government,Executive,Executive Office,Elite	United Kingdom	Discuss by telephone	041	1	10 Downing Street	Government,Executive,Executive Office	United Kingdom	48864217	1	Euronews	Brussels	(Bruxelles-Capitale)	Bruxelles-Capitale	Belgium	50.8504	4.34878
33959036	2019-01-18	Theresa May	Center Right,Ideological,(National) Major Party,Parties,Government,Executive,Executive Office,Elite	United Kingdom	Engage in negotiation	046	7	Belgium		Belgium	48864217	2	Euronews	Brussels	(Bruxelles-Capitale)	Bruxelles-Capitale	Belgium	50.8504	4.34878
33959037	2019-01-18	Belgium		Belgium	Engage in negotiation	046	7	Theresa May	Center Right,Ideological,(National) Major Party,Parties,Government,Executive,Executive Office,Elite	United Kingdom	48864217	2	Euronews	Brussels	(Bruxelles-Capitale)	Bruxelles-Capitale	Belgium	50.8504	4.34878
33958967	2019-01-19	Emmanuel Macron	Elite,Executive Office,Government,Executive	Andorra	Engage in negotiation	046	7	City Mayor (France)	Municipal,Local,Government	France	48864197	2	Euronews				Andorra	42.5078	1.52109
33958968	2019-01-19	City Mayor (France)	Municipal,Local,Government	France	Engage in negotiation	046	7	Emmanuel Macron	Elite,Executive Office,Government,Executive	Andorra	48864197	2	Euronews				France	48.8534	2.3486
33958949	2019-01-19	Citizen (Hungary)	Social,General Population / Civilian / Social	Hungary	Demonstrate or rally	141	-6.5	Viktor Orban	Far Right,Executive,Parties,(National) Major Party,Ideological,Elite,Executive Office,Government	Hungary	48864201	1	Euronews	Budapest		Budapest fovaros	Hungary	47.498	19.0399
33958985	2019-01-19	Citizen (France)	Social,General Population / Civilian / Social	France	Make an appeal or request	020	3	Emmanuel Macron	Elite,Executive Office,Government,Executive	Andorra	48864206	5	Euronews	Paris	Paris	Region Ile-de-France	France	48.8534	2.3488
33959284	2019-01-19	Citizen (Russia)	General Population / Civilian / Social,Social	Russian Federation	Use unconventional violence	180	-9	Norway		Norway	48864794	2	Le Figaro	Oslo	Oslo	Oslo County	Norway	59.9127	10.7461
