Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33922089	2018-12-16	Party Member (Senegal)	Parties	Senegal	Make an appeal or request	020	3	Citizen (Senegal)	Social,General Population / Civilian / Social	Senegal	48793206	1	Agence Ivoirienne de Presse			Bafing	Cote d'Ivoire	8.5	-7.5
33922075	2018-12-16	Party Member (Cote d'Ivoire)	Parties	Cote d'Ivoire	Make an appeal or request	020	3	Citizen (Cote d'Ivoire)	Social,General Population / Civilian / Social	Cote d'Ivoire	48793210	1	Agence Ivoirienne de Presse	Bingerville		Lagunes	Cote d'Ivoire	5.35581	-3.88537
33922082	2018-12-16	Military Personnel - Special (Cote d'Ivoire)	Military,Government	Cote d'Ivoire	Mobilize or increase armed forces	154	-7.2	Cote d'Ivoire		Cote d'Ivoire	48793213	5	Agence Ivoirienne de Presse				Cote d'Ivoire	6.82055	-5.27674
33922136	2018-12-16	Citizen (Cote d'Ivoire)	Social,General Population / Civilian / Social	Cote d'Ivoire	Make an appeal or request	020	3	Population (Cote d'Ivoire)	Social,General Population / Civilian / Social	Cote d'Ivoire	48793218	5	Agence Ivoirienne de Presse	Bondoukou		Zanzan	Cote d'Ivoire	8.0402	-2.80003
33923260	2019-01-07	John R. Bolton	Nongovernmental Organizations / Activists,(National) Major Party,Information / Communication / Transparency NGOs,Parties,Ideological,Center Right	United States	Express intent to meet or negotiate	036	4	Israel		Israel	48795503	2	The Oil Daily	Riyadh		Mintaqat ar Riyad	Saudi Arabia	24.6877	46.7219
33923261	2019-01-07	John R. Bolton	Nongovernmental Organizations / Activists,(National) Major Party,Information / Communication / Transparency NGOs,Parties,Ideological,Center Right	United States	Express intent to meet or negotiate	036	4	Turkey		Turkey	48795503	2	The Oil Daily	Riyadh		Mintaqat ar Riyad	Saudi Arabia	24.6877	46.7219
33923262	2019-01-07	Cabinet / Council of Ministers / Advisors (United States)	Executive,Government,Cabinet	United States	Express intent to meet or negotiate	036	4	Egypt		Egypt	48795503	2	The Oil Daily	Riyadh		Mintaqat ar Riyad	Saudi Arabia	24.6877	46.7219
33923229	2019-01-07	South Africa		South Africa	Arrest, detain, or charge with legal action	173	-5	Manuel Chang	Legislative / Parliamentary,Government	Mozambique	48795504	1	The Oil Daily				South Africa	-25.7449	28.1878
33923230	2019-01-07	Lawyer/Attorney (United States)	Social,Legal	United States	Arrest, detain, or charge with legal action	173	-5	Credit Suisse	Business,Consulting / Financial Services Business,Social	Switzerland	48795504	2	The Oil Daily	London	Greater London	England	United Kingdom	51.5085	-0.12574
33923231	2019-01-07	United Kingdom		United Kingdom	Arrest, detain, or charge with legal action	173	-5	Credit Suisse	Business,Consulting / Financial Services Business,Social	Switzerland	48795504	2	The Oil Daily	London	Greater London	England	United Kingdom	51.5085	-0.12574
33921918	2019-01-08	Venezuela		Venezuela	Make statement	010	0	United States		United States	48792902	2	Reuters - Noticias Latinoamericanas	Geneve		Canton de Geneve	Switzerland	46.2022	6.14569
33922413	2019-01-08	Chief of Staff (Brazil)	Government,Executive,Executive Office	Brazil	Make statement	010	0	Cabinet / Council of Ministers / Advisors (Brazil)	Government,Executive,Cabinet	Brazil	48793894	1	Reuters News				Brazil	-15.8307	-47.6127
33920950	2019-01-09	Head of Government (Myanmar)	Government,Executive Office,Executive	Myanmar	Praise or endorse	051	3.4	Sheikh Hasina Wajed	Government,Government Major Party (In Government),(National) Major Party,Parties,Elite,Interior / Home Ministry,Foreign Ministry,Executive Office,Executive	Bangladesh	48791014	2	United News of Bangladesh Limited				Myanmar	19.745	96.1297
33920951	2019-01-09	Nguyen Xuan Phuc	Executive Office,Government,Elite,Executive	Vietnam	Praise or endorse	051	3.4	Sheikh Hasina Wajed	Government,Government Major Party (In Government),(National) Major Party,Parties,Elite,Interior / Home Ministry,Foreign Ministry,Executive Office,Executive	Bangladesh	48791014	5	United News of Bangladesh Limited				Vietnam	21.0245	105.841
33920954	2019-01-09	Citizen (Myanmar)	General Population / Civilian / Social,Social	Myanmar	Make pessimistic comment	012	-0.4	Myanmar		Myanmar	48791017	3	United News of Bangladesh Limited			Rakhine State	Myanmar	19	94.25
33920955	2019-01-09	Arakan		Myanmar	Use conventional military force	190	-10	Military Personnel - Special (Myanmar)	Government,Military	Myanmar	48791017	3	United News of Bangladesh Limited			Rakhine State	Myanmar	19	94.25
33920956	2019-01-09	Military Personnel - Special (Myanmar)	Government,Military	Myanmar	Use conventional military force	190	-10	Arakan		Myanmar	48791017	3	United News of Bangladesh Limited			Rakhine State	Myanmar	19	94.25
33921005	2019-01-09	Lee Hsien Loong	Parties,Government Major Party (In Government),Elite,(National) Major Party,Executive Office,Government,Executive,Legislative / Parliamentary	Singapore	Praise or endorse	051	3.4	Sheikh Hasina Wajed	Government,Government Major Party (In Government),(National) Major Party,Parties,Elite,Interior / Home Ministry,Foreign Ministry,Executive Office,Executive	Bangladesh	48791018	2	United News of Bangladesh Limited				Singapore	1.28967	103.85
33921032	2019-01-09	Foreign Affairs (China)	Foreign Ministry,Executive,Government	China	Consult	040	1	Akhtaruzzaman	Opposition Major Party (Out Of Government),(National) Major Party,Parties	Bangladesh	48791022	1	United News of Bangladesh Limited	Dhaka	Dhaka District	Dhaka Division	Bangladesh	23.7104	90.4074
33921033	2019-01-09	Akhtaruzzaman	Opposition Major Party (Out Of Government),(National) Major Party,Parties	Bangladesh	Consult	040	1	Foreign Affairs (China)	Foreign Ministry,Executive,Government	China	48791022	1	United News of Bangladesh Limited	Dhaka	Dhaka District	Dhaka Division	Bangladesh	23.7104	90.4074
33921031	2019-01-09	Foreign Affairs (China)	Foreign Ministry,Executive,Government	China	Make statement	010	0	Education (Bangladesh)	Social,Education	Bangladesh	48791022	4	United News of Bangladesh Limited	Dhaka	Dhaka District	Dhaka Division	Bangladesh	23.7104	90.4074
33921065	2019-01-09	Bangladesh		Bangladesh	Criticize or denounce	111	-2	Myanmar		Myanmar	48791028	1	United News of Bangladesh Limited				Myanmar	19.745	96.1297
33920959	2019-01-09	Citizen (Hungary)	Social,General Population / Civilian / Social	Hungary	Demonstrate or rally	141	-6.5	Government (Hungary)	Government	Hungary	48791033	3	United News of Bangladesh Limited	Sarvar		Vas megye	Hungary	47.2539	16.9352
33920958	2019-01-09	Citizen (Hungary)	Social,General Population / Civilian / Social	Hungary	Make an appeal or request	020	3	Government (Hungary)	Government	Hungary	48791033	6	United News of Bangladesh Limited	Sarvar		Vas megye	Hungary	47.2539	16.9352
33921059	2019-01-09	Government (Bangladesh)	Government	Bangladesh	Sign formal agreement	057	8	World Bank	Global,International Government Organization,Global Economic/Financial/Trade IGOs,Global Development IGOs		48791034	1	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33921060	2019-01-09	World Bank	Global,International Government Organization,Global Economic/Financial/Trade IGOs,Global Development IGOs		Sign formal agreement	057	8	Government (Bangladesh)	Government	Bangladesh	48791034	1	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33921030	2019-01-09	Party President (Jatiya (national) Party)	Government Major Party (In Government),(National) Major Party,Parties	Bangladesh	Make statement	010	0	Jatiya (national) Party	Government Major Party (In Government),(National) Major Party,Parties	Bangladesh	48791035	1	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33920993	2019-01-09	Mustafa Kamal	International Religious,Muslim	Bangladesh	Make statement	010	0	Government (Bangladesh)	Government	Bangladesh	48791037	1	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33920994	2019-01-09	Treasury/Finance Ministry (Bangladesh)	Government,Finance / Economy / Commerce / Trade Ministry,Executive	Bangladesh	Make statement	010	0	Bangladesh		Bangladesh	48791037	5	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33920733	2019-01-10	Angela Merkel	Executive Office,Government,Christian,Parties,(National) Major Party,Protestant,International Religious,Elite,Ideological,Center Right,Executive	Germany	Make a visit	042	1.9	Greece		Greece	48790424	2	Al Jazeera English	Athens	Nomarchia Athinas	Attica	Greece	37.9795	23.7162
33920735	2019-01-10	Greece		Greece	Host a visit	043	2.8	Angela Merkel	Executive Office,Government,Christian,Parties,(National) Major Party,Protestant,International Religious,Elite,Ideological,Center Right,Executive	Germany	48790424	2	Al Jazeera English	Athens	Nomarchia Athinas	Attica	Greece	37.9795	23.7162
33920734	2019-01-10	Germany		Germany	Demand	100	-5	European Union	Regional,International Government Organization,Regional Diplomatic IGOs		48790424	5	Al Jazeera English	Berlin		Land Berlin	Germany	52.5244	13.4105
33920793	2019-01-10	Donald Trump	Executive,Government,Executive Office	United States	Make a visit	042	1.9	Mexico		Mexico	48790576	2	Al Jazeera English				Mexico	19.4285	-99.1277
33920796	2019-01-10	Mexico		Mexico	Host a visit	043	2.8	Donald Trump	Executive,Government,Executive Office	United States	48790576	2	Al Jazeera English				Mexico	19.4285	-99.1277
33920803	2019-01-10	Nicola Sturgeon	Parties,Legislative / Parliamentary,Nationalist,Government,(National) Minor Party,Ideological,Center Left	United Kingdom	Consult	040	1	Alex Salmond	Parties,Elite,Nationalist,Government,Executive,(National) Minor Party,Ideological,Center Left,Legislative / Parliamentary	United Kingdom	48790646	1	The Scotsman				United Kingdom	51.5085	-0.12574
33920804	2019-01-10	Alex Salmond	Parties,Elite,Nationalist,Government,Executive,(National) Minor Party,Ideological,Center Left,Legislative / Parliamentary	United Kingdom	Consult	040	1	Nicola Sturgeon	Parties,Legislative / Parliamentary,Nationalist,Government,(National) Minor Party,Ideological,Center Left	United Kingdom	48790646	1	The Scotsman				United Kingdom	51.5085	-0.12574
33920981	2019-01-10	Alberto Fernández	(National) Major Party,Parties,Ideological,Far Left	Argentina	Make statement	010	0	Cristina Fernández de Kirchner	Nationalist,Far Left,Elite,(National) Major Party,Parties,Ideological	Argentina	48791107	3	La Nacion				Argentina	-34.6132	-58.3772
33921027	2019-01-10	Maria Eugenia Vidal	Parties,Government,Provincial,Local	Argentina	Praise or endorse	051	3.4	Court Judge (Argentina)	Government,Judicial	Argentina	48791108	1	La Nacion	Buenos Aires		Ciudad Autonoma de Buenos Aires	Argentina	-34.6132	-58.3772
33921028	2019-01-10	Maria Eugenia Vidal	Parties,Government,Provincial,Local	Argentina	Praise or endorse	051	3.4	Lawyer/Attorney (Argentina)	Social,Legal	Argentina	48791108	1	La Nacion	Buenos Aires		Ciudad Autonoma de Buenos Aires	Argentina	-34.6132	-58.3772
33921000	2019-01-10	Guillermo Moreno	Executive,Finance / Economy / Commerce / Trade Ministry,Government,Cabinet	Argentina	Make statement	010	0	Mauricio Macri	Executive,Municipal Party,Executive Office,Elite,Parties,Government,Center Right,Ideological,Local,Municipal	Argentina	48791111	2	La Nacion				Argentina	-34.6132	-58.3772
33921441	2019-01-10	Rapid Action Battalion	Police,Government	Bangladesh	Arrest, detain, or charge with legal action	173	-5	Citizen (Bangladesh)	General Population / Civilian / Social,Social	Bangladesh	48792096	3	United News of Bangladesh Limited	Dhaka	Dhaka District	Dhaka Division	Bangladesh	23.7104	90.4074
33921456	2019-01-10	Police (Bangladesh)	Police,Government	Bangladesh	Arrest, detain, or charge with legal action	173	-5	Men (Bangladesh)	General Population / Civilian / Social,Social	Bangladesh	48792103	1	United News of Bangladesh Limited	Dhaka	Dhaka District	Dhaka Division	Bangladesh	23.7104	90.4074
33921457	2019-01-10	Police (Bangladesh)	Police,Government	Bangladesh	Use tactics of violent repression	175	-9	Activist (Bangladesh Nationalist Party)	Opposition Major Party (Out Of Government),Parties,(National) Major Party	Bangladesh	48792103	3	United News of Bangladesh Limited	Bihari		Bururi Province	Burundi	-3.8407	29.6853
33921433	2019-01-10	Hossain Mohammad Ershad	Government Major Party (In Government),Elite,Parties,(National) Major Party	Bangladesh	Make statement	010	0	Jatiya (national) Party	Government Major Party (In Government),Parties,(National) Major Party	Bangladesh	48792107	4	United News of Bangladesh Limited	Rangpur		Rangpur Division	Bangladesh	25.7466	89.2517
33921452	2019-01-10	Head of Government (Bangladesh)	Executive Office,Government,Executive	Bangladesh	Make statement	010	0	Government (Thailand)	Government	Thailand	48792108	1	United News of Bangladesh Limited				Thailand	13.75	100.517
33921453	2019-01-10	Kim Yong Nam	Legislative / Parliamentary,Government	North Korea	Praise or endorse	051	3.4	Sheikh Hasina Wajed	Executive Office,Parties,Government,(National) Major Party,Executive,Interior / Home Ministry,Government Major Party (In Government),Elite,Foreign Ministry	Bangladesh	48792108	5	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33921454	2019-01-10	Pak Pong Chu	Executive Office,Elite,Government,Executive	North Korea	Praise or endorse	051	3.4	Sheikh Hasina Wajed	Executive Office,Parties,Government,(National) Major Party,Executive,Interior / Home Ministry,Government Major Party (In Government),Elite,Foreign Ministry	Bangladesh	48792108	5	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33921636	2019-01-10	Sergey Viktorovich Lavrov	Foreign Ministry,(National) Major Party,Parties,Government,Cabinet,Executive,Center Right,Ideological	Russian Federation	Make statement	010	0	Bangladesh		Bangladesh	48792109	2	United News of Bangladesh Limited	Moscow		Moskva	Russian Federation	55.7522	37.6156
33921637	2019-01-10	Sergey Viktorovich Lavrov	Foreign Ministry,(National) Major Party,Parties,Government,Cabinet,Executive,Center Right,Ideological	Russian Federation	Make statement	010	0	Russia		Russian Federation	48792109	2	United News of Bangladesh Limited	Moscow		Moskva	Russian Federation	55.7522	37.6156
