Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33918906	2018-12-24	United Nations	International Government Organization,Global,Global Diplomatic IGOs		Make a visit	042	1.9	Yemen		Yemen	48786916	1	Le Figaro	Al Hudaydah	Al Hawak	Muhafazat al Hudaydah	Yemen	14.7978	42.9545
33918909	2018-12-24	Yemen		Yemen	Host a visit	043	2.8	United Nations	International Government Organization,Global,Global Diplomatic IGOs		48786916	1	Le Figaro	Al Hudaydah	Al Hawak	Muhafazat al Hudaydah	Yemen	14.7978	42.9545
33918907	2018-12-24	The Observer	Social,Print News,Media,News	Uganda	Make a visit	042	1.9	Yemen		Yemen	48786916	2	Le Figaro	Al Hudaydah	Al Hawak	Muhafazat al Hudaydah	Yemen	14.7978	42.9545
33918910	2018-12-24	Yemen		Yemen	Host a visit	043	2.8	The Observer	Social,Print News,Media,News	Uganda	48786916	2	Le Figaro	Al Hudaydah	Al Hawak	Muhafazat al Hudaydah	Yemen	14.7978	42.9545
33918905	2018-12-24	Yemen		Yemen	Make an appeal or request	020	3	Citizen (Yemen)	General Population / Civilian / Social,Social	Yemen	48786916	3	Le Figaro	Aden	Craiter	Muhafazat `Adan	Yemen	12.7794	45.0367
33918908	2018-12-24	Military Personnel - Special (Yemen)	Military,Government	Yemen	Use conventional military force	190	-10	Citizen (Yemen)	General Population / Civilian / Social,Social	Yemen	48786916	5	Le Figaro			Sinai Peninsula	Egypt	29.5	34
33918897	2019-01-01	Ministry (Cote d'Ivoire)	Government	Cote d'Ivoire	Provide aid	070	7	Governor (Cote d'Ivoire)	Provincial,Local,Government	Cote d'Ivoire	48786960	1	Agence Ivoirienne de Presse	Daloa		Haut-Sassandra	Cote d'Ivoire	6.87736	-6.45022
33918870	2019-01-01	Alassane Ouattara	Executive Office,Defense / Security Ministry,Executive,Regional,Regional Economic/Financial/Trade IGOs,Elite,International Government Organization,Muslim,Government,International Religious	Cote d'Ivoire	Make statement	010	0	Cote d'Ivoire		Cote d'Ivoire	48786966	3	Agence Ivoirienne de Presse	Abidjan		Lagunes	Cote d'Ivoire	5.30966	-4.01266
33918969	2019-01-01	High Ranking Military Personnel (Cote d'Ivoire)	Government,Military	Cote d'Ivoire	Make statement	010	0	Gendermarie (Cote d'Ivoire)	Government,Military	Cote d'Ivoire	48786968	2	Agence Ivoirienne de Presse	Abidjan		Lagunes	Cote d'Ivoire	5.30966	-4.01266
33919005	2019-01-02	Ministry (Cote d'Ivoire)	Government	Cote d'Ivoire	Praise or endorse	051	3.4	Population (Benin)	General Population / Civilian / Social,Social	Benin	48786955	3	Agence Ivoirienne de Presse	Bondoukou		Zanzan	Cote d'Ivoire	8.0402	-2.80003
33918915	2019-01-02	Ministry (Cote d'Ivoire)	Government	Cote d'Ivoire	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Media Personnel (Cote d'Ivoire)	Social,Media	Cote d'Ivoire	48786956	3	Agence Ivoirienne de Presse	Daloa		Haut-Sassandra	Cote d'Ivoire	6.87736	-6.45022
