Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
34074063	2019-03-04	Nicolás Maduro	Cabinet,Executive,Executive Office,Government,Ideological,Far Left,Elite,(National) Major Party,Parties	Venezuela	Arrest, detain, or charge with legal action	173	-5	Opposition Supporter (Venezuela)	Dissident,Protestors / Popular Opposition / Mobs	Venezuela	49094133	6	The Oil Daily				Venezuela	10.5	-66.9167
34074064	2019-03-04	Military (Venezuela)	Military,Government	Venezuela	Arrest, detain, or charge with legal action	173	-5	Assemblies (Venezuela)	Legislative / Parliamentary,Government	Venezuela	49094133	6	The Oil Daily				Venezuela	10.5	-66.9167
34071742	2019-03-07	Government (India)	Government	India	Impose administrative sanctions	172	-5	Jamaat I Islami	Kashmiri,International Ethnic,Muslim,International Religious		49088816	4	Al Jazeera English	Jammu		State of Jammu and Kashmir	India	32.7357	74.8691
34071838	2019-03-07	World Health Organization	Global,International Government Organization,Global Health IGOs,Global Diplomatic IGOs		Make a visit	042	1.9	Democratic Republic of Congo		Democratic Republic of Congo	49088985	4	Al Jazeera English				Democratic Republic of Congo	-4.47223	15.8836
34071839	2019-03-07	Democratic Republic of Congo		Democratic Republic of Congo	Host a visit	043	2.8	World Health Organization	Global,International Government Organization,Global Health IGOs,Global Diplomatic IGOs		49088985	4	Al Jazeera English				Democratic Republic of Congo	-4.47223	15.8836
34071841	2019-03-07	International Criminal Court	Global,Global Law / Justice / Judicial IGOs,International Government Organization		Investigate	090	-2	Other Authorities / Officials (Syria)	Government	Syria	49089112	2	Al Jazeera English				Syria	33.5102	36.2913
34071797	2019-03-07	Barham Salih	Local,Provincial,Nationalist,Center Left,International Religious,Ideological,Parties,Sunni,Provincial Party,Government,(National) Minor Party,International Ethnic,Kurd (Ethnic Group)	Iraq	Make statement	010	0	Combatant (Islamic State of Iraq and the Levant)	Muslim,Insurgents,Dissident,Fundamentalist,International Religious,Ideological,Sunni	Iraq	49089114	1	Al Jazeera English				Iraq	33.3406	44.4009
34071798	2019-03-07	Barham Salih	Local,Provincial,Nationalist,Center Left,International Religious,Ideological,Parties,Sunni,Provincial Party,Government,(National) Minor Party,International Ethnic,Kurd (Ethnic Group)	Iraq	Make statement	010	0	Combatant (Islamic State of Iraq and the Levant)	Muslim,Insurgents,Dissident,Fundamentalist,International Religious,Ideological,Sunni	Iraq	49089114	2	Al Jazeera English				Iraq	33.3406	44.4009
34071800	2019-03-07	Combatant (Islamic State of Iraq and the Levant)	Muslim,Insurgents,Dissident,Fundamentalist,International Religious,Ideological,Sunni	Iraq	Use unconventional violence	180	-9	Citizen (Iraq)	Social,General Population / Civilian / Social	Iraq	49089114	3	Al Jazeera English				Iraq	33.3406	44.4009
34071799	2019-03-07	United States		United States	Cooperate militarily	062	7.4	Military (Syria)	Military,Government	Syria	49089114	5	Al Jazeera English				United States	38.8951	-77.0364
34071852	2019-03-07	Citizen (Algeria)	Social,General Population / Civilian / Social	Algeria	Demonstrate or rally	141	-6.5	Abdelaziz Bouteflika	Parties,(National) Major Party,Government,Executive Office,Elite,Far Left,Ideological,Executive	Algeria	49089115	3	Al Jazeera English				Algeria	36.7525	3.04197
34071915	2019-03-07	United States		United States	Make a visit	042	1.9	Azerbaijan		Azerbaijan	49089201	1	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
34071916	2019-03-07	Azerbaijan		Azerbaijan	Host a visit	043	2.8	United States		United States	49089201	1	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
34071924	2019-03-07	Citizen (United Kingdom)	General Population / Civilian / Social,Social	United Kingdom	Make an appeal or request	020	3	Ministry (United Kingdom)	Government	United Kingdom	49089232	1	The Scotsman			Scotland	United Kingdom	56	-4
34071966	2019-03-07	Court Judge (Argentina)	Judicial,Government	Argentina	Investigate	090	-2	Oscar Aguad	Executive,Government,Defense / Security Ministry	Argentina	49089385	4	La Nacion	Casa Rosada			Argentina	-34.6082	-58.3701
34071967	2019-03-07	Court Judge (Argentina)	Judicial,Government	Argentina	Investigate	090	-2	Citizen (Argentina)	General Population / Civilian / Social,Social	Argentina	49089385	4	La Nacion	Casa Rosada			Argentina	-34.6082	-58.3701
34071953	2019-03-07	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	Host a visit	043	2.8	Mahathir Mohamad	Executive,Executive Office,Elite,Government	Malaysia	49089441	1	PNA (Philippines News Agency)	Malacanang Palace	City of Manila	National Capital Region	Philippines	14.5939	120.994
34071954	2019-03-07	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	Praise or endorse	051	3.4	Mahathir Mohamad	Executive,Executive Office,Elite,Government	Malaysia	49089441	1	PNA (Philippines News Agency)	Malacanang Palace	City of Manila	National Capital Region	Philippines	14.5939	120.994
34071955	2019-03-07	Mahathir Mohamad	Executive,Executive Office,Elite,Government	Malaysia	Make a visit	042	1.9	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	49089441	1	PNA (Philippines News Agency)	Malacanang Palace	City of Manila	National Capital Region	Philippines	14.5939	120.994
34071951	2019-03-07	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	Consult	040	1	Mahathir Mohamad	Executive,Executive Office,Elite,Government	Malaysia	49089441	2	PNA (Philippines News Agency)	Malacanang Palace	City of Manila	National Capital Region	Philippines	14.5939	120.994
34071952	2019-03-07	Mahathir Mohamad	Executive,Executive Office,Elite,Government	Malaysia	Consult	040	1	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	49089441	2	PNA (Philippines News Agency)	Malacanang Palace	City of Manila	National Capital Region	Philippines	14.5939	120.994
34071977	2019-03-07	Children (Philippines)	General Population / Civilian / Social,Social	Philippines	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		49089444	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34071979	2019-03-07	Mahathir Mohamad	Executive,Executive Office,Elite,Government	Malaysia	Consult	040	1	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	49089446	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34071980	2019-03-07	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	Consult	040	1	Mahathir Mohamad	Executive,Executive Office,Elite,Government	Malaysia	49089446	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34071969	2019-03-07	Government (Vietnam)	Government	Vietnam	Make an appeal or request	020	3	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	49089447	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34071970	2019-03-07	Pham Binh Minh	Foreign Ministry,Executive,Executive Office,Government	Vietnam	Praise or endorse	051	3.4	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	49089447	3	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34071968	2019-03-07	Pham Binh Minh	Foreign Ministry,Executive,Executive Office,Government	Vietnam	Make statement	010	0	Government (Vietnam)	Government	Vietnam	49089447	4	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34071971	2019-03-07	Pham Binh Minh	Foreign Ministry,Executive,Executive Office,Government	Vietnam	Praise or endorse	051	3.4	Rodrigo Duterte	Executive Office,Government,Executive	Philippines	49089447	5	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34072040	2019-03-07	Media Personnel (Philippines)	Media,Social	Philippines	Make statement	010	0	Michelle Bachelet	Center Left,Elite,Ideological,(National) Major Party,Parties	Chile	49089448	4	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
34072397	2019-03-07	Ministry (Saudi Arabia)	Government	Saudi Arabia	Make statement	010	0	Saudi Arabia		Saudi Arabia	49090277	2	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
34072324	2019-03-07	Police (India)	Police,Government	India	Use conventional military force	190	-10	India		India	49090285	5	United News of Bangladesh Limited	Salimpur		State of Bihar	India	26.4599	84.6488
34072365	2019-03-07	Salman bin Abdulaziz al-Saud	Executive,Elite,Executive Office,Government	Saudi Arabia	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Bangladesh		Bangladesh	49090287	4	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
34072366	2019-03-07	Finance / Economy / Commerce / Trade Ministry (Saudi Arabia)	Executive,Finance / Economy / Commerce / Trade Ministry,Government	Saudi Arabia	Make a visit	042	1.9	Bangladesh		Bangladesh	49090287	4	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
