Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33730401	2018-10-16	Citizen (Israel)	Social,General Population / Civilian / Social	Israel	Criticize or denounce	111	-2	Israeli Defense Forces	Military,Government	Israel	48399478	2	The Jerusalem Post				Israel	31.779	35.2253
33730535	2018-10-16	Government (Turkey)	Government	Turkey	Arrest, detain, or charge with legal action	173	-5	Religion (United States)	National Religious,Social	United States	48399480	4	The Jerusalem Post				Turkey	39.9167	32.8333
33730490	2018-10-16	Israel		Israel	Employ aerial weapons	195	-10	Syria		Syria	48399481	4	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730413	2018-10-16	Israel		Israel	Impose administrative sanctions	172	-5	Student (Israel)	Social,Education	Israel	48399492	2	The Jerusalem Post				Israel	31.779	35.2253
33730513	2018-10-16	Egypt		Egypt	Express intent to meet or negotiate	036	4	Palestinian Territory, Occupied		Occupied Palestinian Territory	48399495	1	The Jerusalem Post	Ramallah		West Bank	Occupied Palestinian Territory	31.8996	35.2042
33730515	2018-10-16	Israel		Israel	Threaten with military force	138	-7	Palestinian Territory, Occupied		Occupied Palestinian Territory	48399495	3	The Jerusalem Post			Gaza Strip	Occupied Palestinian Territory	31.4167	34.3333
33730514	2018-10-16	Hamas	Muslim,Nongovernmental Organization (International),International Religious,Dissident,(National) Major Party,Parties	Occupied Palestinian Territory	Demand de-escalation of military engagement	1056	-5	Israel		Israel	48399495	6	The Jerusalem Post			Gaza Strip	Occupied Palestinian Territory	31.4167	34.3333
33730533	2018-10-16	Yair Lapid	Ideological,Parties,(National) Major Party,Secular	Israel	Accuse	112	-2	Benjamin Netanyahu	Jews,Parties,(National) Major Party,Foreign Ministry,Elite,Ideological,Center Right,International Ethnic,Executive Office,Executive,Government	Israel	48399499	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730532	2018-10-16	Yair Lapid	Ideological,Parties,(National) Major Party,Secular	Israel	Make statement	010	0	Media (Israel)	Media,Social	Israel	48399499	2	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730544	2018-10-16	Naftali Bennett	Government	Israel	Demand	100	-5	Israel		Israel	48399501	1	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33730543	2018-10-16	Naftali Bennett	Government	Israel	Make statement	010	0	Palestinian Territory, Occupied		Occupied Palestinian Territory	48399501	3	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730545	2018-10-16	Tzipi Livni	Ideological,International Ethnic,Centrist,Jews,Parties,(National) Major Party	Israel	Criticize or denounce	111	-2	Israel		Israel	48399501	4	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730546	2018-10-16	Tzipi Livni	Ideological,International Ethnic,Centrist,Jews,Parties,(National) Major Party	Israel	Criticize or denounce	111	-2	Naftali Bennett	Government	Israel	48399501	4	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730407	2018-10-16	Tzipi Livni	Ideological,International Ethnic,Centrist,Jews,Parties,(National) Major Party	Israel	Make statement	010	0	Benjamin Netanyahu	Jews,Parties,(National) Major Party,Foreign Ministry,Elite,Ideological,Center Right,International Ethnic,Executive Office,Executive,Government	Israel	48399504	6	The Jerusalem Post				Israel	31.779	35.2253
33730439	2018-10-16	Scott Morrison	Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary,Parties,(National) Major Party,Opposition Major Party (Out Of Government),Executive,Government	Australia	Grant diplomatic recognition	054	6	Israel		Israel	48399506	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730437	2018-10-16	Scott Morrison	Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary,Parties,(National) Major Party,Opposition Major Party (Out Of Government),Executive,Government	Australia	Consult	040	1	Benjamin Netanyahu	Jews,Parties,(National) Major Party,Foreign Ministry,Elite,Ideological,Center Right,International Ethnic,Executive Office,Executive,Government	Israel	48399506	4	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730440	2018-10-16	Benjamin Netanyahu	Jews,Parties,(National) Major Party,Foreign Ministry,Elite,Ideological,Center Right,International Ethnic,Executive Office,Executive,Government	Israel	Consult	040	1	Scott Morrison	Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary,Parties,(National) Major Party,Opposition Major Party (Out Of Government),Executive,Government	Australia	48399506	4	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730438	2018-10-16	Benjamin Netanyahu	Jews,Parties,(National) Major Party,Foreign Ministry,Elite,Ideological,Center Right,International Ethnic,Executive Office,Executive,Government	Israel	Praise or endorse	051	3.4	Scott Morrison	Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary,Parties,(National) Major Party,Opposition Major Party (Out Of Government),Executive,Government	Australia	48399506	5	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33730447	2018-10-17	Air Force (Israel)	Military,Government,Air Force	Israel	Employ aerial weapons	195	-10	Syria		Syria	48399456	2	The Jerusalem Post				Syria	33.5102	36.2913
33730426	2018-10-17	Justice Department/Ministery (New Zealand)	Government,Judicial	New Zealand	Make statement	010	0	Israel		Israel	48399458	1	The Jerusalem Post				New Zealand	-41.2833	174.767
33730397	2018-10-17	Israel		Israel	Arrest, detain, or charge with legal action	173	-5	Student (United States)	Social,Education	United States	48399471	3	The Jerusalem Post	University of Florida	Alachua County	Florida	United States	29.6486	-82.3493
33730184	2018-10-18	Norway		Norway	Engage in diplomatic cooperation	050	3.5	European Union	International Government Organization,Regional,Regional Diplomatic IGOs		48398968	1	Esmerk Norwegian News				Norway	59.9118	10.7337
33730185	2018-10-18	Norway		Norway	Engage in diplomatic cooperation	050	3.5	International			48398968	1	Esmerk Norwegian News				Norway	59.9118	10.7337
33729767	2018-10-19	World Trade Organization	Global Economic/Financial/Trade IGOs,Global,International Government Organization		Make statement	010	0	China		China	48398227	1	Reuters News				China	39.9075	116.397
33729768	2018-10-19	World Trade Organization	Global Economic/Financial/Trade IGOs,Global,International Government Organization		Make statement	010	0	Canada		Canada	48398227	1	Reuters News				Canada	45.4112	-75.6981
33729769	2018-10-19	World Trade Organization	Global Economic/Financial/Trade IGOs,Global,International Government Organization		Make statement	010	0	Mexico		Mexico	48398227	1	Reuters News				Mexico	19.4285	-99.1277
33729770	2018-10-19	World Trade Organization	Global Economic/Financial/Trade IGOs,Global,International Government Organization		Make statement	010	0	Norway		Norway	48398227	1	Reuters News				Norway	59.9118	10.7337
33730616	2018-10-19	United States		United States	Refuse to ease economic sanctions, boycott, or embargo	1244	-4	Zimbabwe		Zimbabwe	48399966	3	Reuters News	Harare		Harare Province	Zimbabwe	-17.8277	31.0534
33730617	2018-10-19	United States		United States	Impose embargo, boycott, or sanctions	163	-8	Zimbabwe		Zimbabwe	48399966	3	Reuters News	Harare		Harare Province	Zimbabwe	-17.8277	31.0534
