Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33705499	2018-10-09	Treasury/Finance Ministry (South Africa)	Government,Finance / Economy / Commerce / Trade Ministry,Executive	South Africa	Make a visit	042	1.9	Indonesia		Indonesia	48351305	1	Reuters News				Indonesia	-6.21462	106.845
33705500	2018-10-09	Indonesia		Indonesia	Host a visit	043	2.8	Treasury/Finance Ministry (South Africa)	Government,Finance / Economy / Commerce / Trade Ministry,Executive	South Africa	48351305	1	Reuters News				Indonesia	-6.21462	106.845
33705782	2018-10-09	Bank of England	State-Owned Consulting / Financial Services,Government,State Owned Enterprises	United Kingdom	Make an appeal or request	020	3	European Union	International Government Organization,Regional Diplomatic IGOs,Regional		48351666	1	Reuters News	London	Greater London	England	United Kingdom	51.5085	-0.12574
33706689	2018-10-09	Head of Government (South Africa)	Government,Executive Office,Executive	South Africa	Make statement	010	0	Treasury/Finance Ministry (South Africa)	Government,Executive,Finance / Economy / Commerce / Trade Ministry	South Africa	48353406	1	Reuters News				South Africa	-25.7449	28.1878
33706982	2018-10-09	Presidential Candidate (Brazil)	Parties	Brazil	Make statement	010	0	Treasury/Finance Ministry (Brazil)	Government,Executive,Finance / Economy / Commerce / Trade Ministry	Brazil	48354099	1	Reuters News				Brazil	-15.8307	-47.6127
33707031	2018-10-09	Presidential Candidate (Brazil)	Parties	Brazil	Make statement	010	0	Treasury/Finance Ministry (Brazil)	Government,Executive,Finance / Economy / Commerce / Trade Ministry	Brazil	48354101	1	Reuters News				Brazil	-15.8307	-47.6127
33706554	2018-10-10	Philippines		Philippines	Express intent to cooperate	030	4	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48353092	6	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33706534	2018-10-10	Philippines		Philippines	Arrest, detain, or charge with legal action	173	-5	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48353093	4	PNA (Philippines News Agency)		Zamboanga City	Zamboanga Peninsula	Philippines	6.91348	122.07
33706413	2018-10-10	Criminal (Philippines)	Dissident,Criminals / Gangs	Philippines	Use unconventional violence	180	-9	Police (Philippines)	Government,Police	Philippines	48353094	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33706503	2018-10-10	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	Yield	080	5	Military (Philippines)	Government,Military	Philippines	48353099	2	PNA (Philippines News Agency)	Pagayawan	Province of Lanao del Sur	Mindanao	Philippines	7.92694	124.201
33707841	2018-10-10	Head of Government (Taiwan)	Executive Office,Executive,Government	Taiwan	Make an appeal or request	020	3	China		China	48355686	1	Reuters News				Taiwan	24.947	121.582
33707851	2018-10-10	Head of Government (Taiwan)	Executive Office,Executive,Government	Taiwan	Make statement	010	0	China		China	48355691	1	Reuters News				Taiwan	24.947	121.582
33705355	2018-10-11	Armed Band (Afghanistan)	Unidentified Forces	Afghanistan	Use unconventional violence	180	-9	Citizen (Afghanistan)	General Population / Civilian / Social,Social	Afghanistan	48350865	2	Al Jazeera English				Afghanistan	34.4961	69.1055
33705354	2018-10-11	Court Judge (India)	Judicial,Government	India	Ease administrative sanctions	081	5	Aam Aadmi Party	Far Left,Ideological,(National) Major Party,Parties	India	48350905	1	Hindustan Times	Sangrur		State of Punjab	India	30.2461	75.8469
33705432	2018-10-11	Education Ministry (United Kingdom)	Government,Education Ministry,Executive	United Kingdom	Accuse	112	-2	Citizen (United Kingdom)	Social,General Population / Civilian / Social	United Kingdom	48350996	5	The Scotsman			Scotland	United Kingdom	56	-4
33705475	2018-10-11	Saudi Arabia		Saudi Arabia	Use unconventional violence	180	-9	Jamal Khashoggi	Social,Media	Saudi Arabia	48351031	3	Al Jazeera English	Istanbul		Istanbul	Turkey	41.0138	28.9497
33705433	2018-10-11	Saudi Arabia		Saudi Arabia	Make statement	010	0	Jamal Khashoggi	Social,Media	Saudi Arabia	48351032	6	Al Jazeera English	Istanbul		Istanbul	Turkey	41.0138	28.9497
33705461	2018-10-11	Head of Government (Jordan)	Executive Office,Government,Executive	Jordan	Threaten	130	-4.4	Citizen (Jordan)	General Population / Civilian / Social,Social	Jordan	48351134	5	Al Jazeera English				Jordan	31.9552	35.945
33705460	2018-10-11	Labor Union (Jordan)	Labor,Social	Jordan	Criticize or denounce	111	-2	Head of Government (Jordan)	Executive Office,Government,Executive	Jordan	48351134	6	Al Jazeera English				Jordan	31.9552	35.945
33705435	2018-10-11	Turkey		Turkey	Engage in diplomatic cooperation	050	3.5	Saudi Arabia		Saudi Arabia	48351136	3	Al Jazeera English	Istanbul		Istanbul	Turkey	41.0138	28.9497
33705436	2018-10-11	Saudi Arabia		Saudi Arabia	Engage in diplomatic cooperation	050	3.5	Turkey		Turkey	48351136	3	Al Jazeera English	Istanbul		Istanbul	Turkey	41.0138	28.9497
33705749	2018-10-11	Canada		Canada	Make statement	010	0	Foreign Affairs (Rwanda)	Executive,Government,Foreign Ministry	Rwanda	48351771	4	Euronews	Quebec		Quebec	Canada	46.8123	-71.2145
33705856	2018-10-11	Turkey		Turkey	Engage in diplomatic cooperation	050	3.5	Saudi Arabia		Saudi Arabia	48352042	3	Al Jazeera English	Istanbul		Istanbul	Turkey	41.0138	28.9497
33705857	2018-10-11	Saudi Arabia		Saudi Arabia	Engage in diplomatic cooperation	050	3.5	Turkey		Turkey	48352042	3	Al Jazeera English	Istanbul		Istanbul	Turkey	41.0138	28.9497
33705855	2018-10-11	Foreign Affairs (Turkey)	Government,Foreign Ministry,Executive	Turkey	Make statement	010	0	Other Authorities / Officials (Saudi Arabia)	Government	Saudi Arabia	48352042	5	Al Jazeera English	Istanbul		Istanbul	Turkey	41.0138	28.9497
33706214	2018-10-11	Foreign Affairs (Colombia)	Government,Foreign Ministry,Executive	Colombia	Engage in material cooperation	060	6	Julio Borges	Government,Parties,Legislative / Parliamentary,Unicameral,Center Right,Ideological,(National) Minor Party	Venezuela	48352485	1	Unknown				Colombia	4.60971	-74.0817
