Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33787312	2018-11-11	Vladimir Putin	Elite,Executive,Ideological,Center Right,Government,Executive Office,(National) Major Party,Parties	Russian Federation	Praise or endorse	051	3.4	Company - Owner or Operator (Singapore)	Business,Social	Singapore	48513575	2	Vietnam News Agency Bulletin	St. Petersburg		Sankt-Peterburg	Russian Federation	59.9386	30.3141
33786166	2018-11-13	United Nations	International Government Organization,Global,Global Diplomatic IGOs		Make statement	010	0	Khalifa Belqasim Haftar	Government,Military	Libya	48511733	1	Al Jazeera English	Palermo	Provincia di Palermo	Sicilia	Italy	38.1158	13.3598
33786167	2018-11-13	United Nations	International Government Organization,Global,Global Diplomatic IGOs		Make statement	010	0	Khalifa Belqasim Haftar	Government,Military	Libya	48511733	5	Al Jazeera English	Palermo	Provincia di Palermo	Sicilia	Italy	38.1158	13.3598
33786227	2018-11-13	Al Jazeera	Executive,Social,Information / Communication / Transparency Ministry,State Media,News,Media,Government,Television News	Qatar	Make statement	010	0	Hamas	Dissident,Nongovernmental Organization (International),Muslim,International Religious,(National) Major Party,Parties	Occupied Palestinian Territory	48511735	3	Al Jazeera English			Gaza Strip	Occupied Palestinian Territory	31.4167	34.3333
33786377	2018-11-13	Azerbaijan		Azerbaijan	Arrest, detain, or charge with legal action	173	-5	Turan	Social,Media	Azerbaijan	48511787	2	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
33786299	2018-11-13	Israeli Defense Forces	Government,Military	Israel	fight with artillery and tanks	194	-10	Palestinian Territory, Occupied		Occupied Palestinian Territory	48511803	6	Israel Faxx	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33786279	2018-11-13	Israel		Israel	Demonstrate military or police power	150	-7.2	Palestinian Territory, Occupied		Occupied Palestinian Territory	48511804	6	Israel Faxx	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33786511	2018-11-13	Malacañang	Executive,Government,Executive Office	Philippines	Make statement	010	0	Government (Philippines)	Government	Philippines	48512124	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33786479	2018-11-13	Media (Philippines)	Social,Media	Philippines	Discuss by telephone	041	1	City Mayor (Philippines)	Government,Municipal,Local	Philippines	48512125	2	PNA (Philippines News Agency)	Natonin	Mountain Province	Cordillera Administrative Region	Philippines	17.1092	121.276
33786480	2018-11-13	City Mayor (Philippines)	Government,Municipal,Local	Philippines	Discuss by telephone	041	1	Media (Philippines)	Social,Media	Philippines	48512125	2	PNA (Philippines News Agency)	Natonin	Mountain Province	Cordillera Administrative Region	Philippines	17.1092	121.276
33786478	2018-11-13	Government Official (Philippines)	Government	Philippines	Make statement	010	0	Government (Philippines)	Government	Philippines	48512125	3	PNA (Philippines News Agency)	Natonin	Mountain Province	Cordillera Administrative Region	Philippines	17.1092	121.276
33786019	2018-11-14	South Korea		South Korea	Sign formal agreement	057	8	Kyrgyzstan		Kyrgyzstan	48511268	1	Yonhap English News	Seoul		Seoul-teukbyeolsi	South Korea	37.5683	126.978
33786020	2018-11-14	Kyrgyzstan		Kyrgyzstan	Sign formal agreement	057	8	South Korea		South Korea	48511268	1	Yonhap English News	Seoul		Seoul-teukbyeolsi	South Korea	37.5683	126.978
33786101	2018-11-14	James Mattis	Government,Military,Executive,Defense / Security Ministry,Marines	United States	Make statement	010	0	Poland		Poland	48511271	1	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786108	2018-11-14	James Mattis	Government,Military,Executive,Defense / Security Ministry,Marines	United States	Make a visit	042	1.9	Defense / Security Ministry (Poland)	Defense / Security Ministry,Executive,Government	Poland	48511271	2	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786110	2018-11-14	Defense / Security Ministry (Poland)	Defense / Security Ministry,Executive,Government	Poland	Host a visit	043	2.8	James Mattis	Government,Military,Executive,Defense / Security Ministry,Marines	United States	48511271	2	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786103	2018-11-14	Defense / Security Ministry (Poland)	Defense / Security Ministry,Executive,Government	Poland	Make statement	010	0	United States		United States	48511271	5	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786104	2018-11-14	James Mattis	Government,Military,Executive,Defense / Security Ministry,Marines	United States	Make statement	010	0	Poland		Poland	48511271	5	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786105	2018-11-14	Defense / Security Ministry (Poland)	Defense / Security Ministry,Executive,Government	Poland	Make statement	010	0	Poland		Poland	48511271	5	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786106	2018-11-14	James Mattis	Government,Military,Executive,Defense / Security Ministry,Marines	United States	Consult	040	1	Defense / Security Ministry (Poland)	Defense / Security Ministry,Executive,Government	Poland	48511271	5	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786107	2018-11-14	Defense / Security Ministry (Poland)	Defense / Security Ministry,Executive,Government	Poland	Consult	040	1	James Mattis	Government,Military,Executive,Defense / Security Ministry,Marines	United States	48511271	5	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786109	2018-11-14	James Mattis	Government,Military,Executive,Defense / Security Ministry,Marines	United States	Praise or endorse	051	3.4	Defense / Security Ministry (Poland)	Defense / Security Ministry,Executive,Government	Poland	48511271	6	Xinhua News Agency			Washington D.C.	United States	38.9171	-77.0003
33786045	2018-11-14	Delfin Lorenzana	Government,Defense / Security Ministry,Executive	Philippines	Reject	120	-4	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48511276	4	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33786072	2018-11-14	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Make statement	010	0	Philippines		Philippines	48511280	1	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33786073	2018-11-14	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Make statement	010	0	Philippines		Philippines	48511280	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33786074	2018-11-14	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Express intent to cooperate	030	4	Association of Southeast Asian Nations	Regional,Regional Diplomatic IGOs,International Government Organization		48511280	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33786075	2018-11-14	Rodrigo Duterte	Government,Executive,Executive Office	Philippines	Express intent to cooperate	030	4	Citizen (Philippines)	Social,General Population / Civilian / Social	Philippines	48511280	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33786076	2018-11-14	Association of Southeast Asian Nations	Regional,Regional Diplomatic IGOs,International Government Organization		Express intent to cooperate	030	4	China		China	48511280	5	PNA (Philippines News Agency)			South China Sea	Vietnam	15	115
33786077	2018-11-14	China		China	Express intent to cooperate	030	4	Association of Southeast Asian Nations	Regional,Regional Diplomatic IGOs,International Government Organization		48511280	5	PNA (Philippines News Agency)			South China Sea	Vietnam	15	115
