Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33942776	2019-01-16	Government (Argentina)	Government	Argentina	Criticize or denounce	111	-2	Head of Government (Venezuela)	Executive,Executive Office,Government	Venezuela	48833557	1	Reuters News				Argentina	-34.6132	-58.3772
33943820	2019-01-16	Head of Government (Argentina)	Government,Executive Office,Executive	Argentina	Make statement	010	0	Brazil		Brazil	48833559	1	Reuters News				Argentina	-34.6132	-58.3772
33943004	2019-01-16	Citizen (Russia)	Social,General Population / Civilian / Social	Russian Federation	Make optimistic comment	013	0.4	United States		United States	48834280	1	Reuters News			Washington D.C.	United States	38.9171	-77.0003
33943533	2019-01-18	Media Personnel (Philippines)	Media,Social	Philippines	Make statement	010	0	High Ranking Military Personnel (Philippines)	Military,Government	Philippines	48833870	2	PNA (Philippines News Agency)		Province of Nueva Ecija	Central Luzon	Philippines	15.5833	121
33943561	2019-01-18	Media Personnel (Philippines)	Media,Social	Philippines	Make statement	010	0	High Ranking Military Personnel (Philippines)	Military,Government	Philippines	48833870	4	PNA (Philippines News Agency)			Mindanao	Philippines	7.09544	124.387
33943816	2019-01-18	Ombudsman (Philippines)	Government	Philippines	Criticize or denounce	111	-2	Citizen (Philippines)	General Population / Civilian / Social,Social	Philippines	48833871	5	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33943266	2019-01-18	City Mayor (Philippines)	Municipal,Local,Government	Philippines	Make statement	010	0	Government (Philippines)	Government	Philippines	48833873	3	PNA (Philippines News Agency)			National Capital Region	Philippines	14.5946	120.972
33944201	2019-01-18	Sheikh Hasina Wajed	(National) Major Party,Parties,Government,Government Major Party (In Government),Executive,Executive Office,Foreign Ministry,Interior / Home Ministry,Elite	Bangladesh	Make empathetic comment	018	3.4	Citizen (Bangladesh)	General Population / Civilian / Social,Social	Bangladesh	48833897	2	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33942800	2019-01-18	Border Security Force	Police,Government	India	fight with small arms and light weapons	193	-10	Children (Bangladesh)	General Population / Civilian / Social,Social	Bangladesh	48833898	1	United News of Bangladesh Limited	Thakurgaon		Rangpur Division	Bangladesh	26.031	88.4699
33942801	2019-01-18	Border Security Force	Police,Government	India	fight with small arms and light weapons	193	-10	Indigenous People (Bangladesh)	General Population / Civilian / Social,Social	Bangladesh	48833898	3	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33942802	2019-01-18	Foreign Affairs (Nepal)	Government,Executive,Foreign Ministry	Nepal	Praise or endorse	051	3.4	Government (Bangladesh)	Government	Bangladesh	48833900	4	United News of Bangladesh Limited				Bangladesh	23.7104	90.4074
33943238	2019-01-18	Cabinet / Council of Ministers / Advisors (India)	Cabinet,Executive,Government	India	Make statement	010	0	Bharatiya Janata	Parties,(National) Major Party,Opposition Major Party (Out Of Government)	India	48834221	1	Hindustan Times				India	28.6358	77.2244
33943990	2019-01-18	Citizen (Cote d'Ivoire)	General Population / Civilian / Social,Social	Cote d'Ivoire	Make an appeal or request	020	3	Assemblies (Cote d'Ivoire)	Government,Legislative / Parliamentary	Cote d'Ivoire	48834376	5	Yogam Communications SARL	Abidjan		Lagunes	Cote d'Ivoire	5.30966	-4.01266
33943919	2019-01-18	European Commission	Regional,Regional Diplomatic IGOs,International Government Organization		Make an appeal or request	020	3	European Union	Regional,Regional Diplomatic IGOs,International Government Organization		48834390	5	Turan Information Agency (Azerbaijan)	Brussels	(Bruxelles-Capitale)	Bruxelles-Capitale	Belgium	50.8504	4.34878
33943920	2019-01-18	Citizen (Azerbaijan)	Social,General Population / Civilian / Social	Azerbaijan	Make an appeal or request	020	3	European Union	Regional,Regional Diplomatic IGOs,International Government Organization		48834390	5	Turan Information Agency (Azerbaijan)	Brussels	(Bruxelles-Capitale)	Bruxelles-Capitale	Belgium	50.8504	4.34878
33943028	2019-01-18	Other Authorities / Officials (Iraq)	Government	Iraq	Demand	100	-5	Activist (Iraq)	Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights NGOs,Human Rights IGOs	Iraq	48834391	2	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
33943777	2019-01-18	Emmerson Mnangagwa	(National) Major Party,Parties,Government,Defense / Security Ministry,Ideological,Executive Office,Cabinet,Executive,Far Left,Elite	Zimbabwe	Make a visit	042	1.9	Azerbaijan		Azerbaijan	48834393	1	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
33943829	2019-01-18	Azerbaijan		Azerbaijan	Host a visit	043	2.8	Emmerson Mnangagwa	(National) Major Party,Parties,Government,Defense / Security Ministry,Ideological,Executive Office,Cabinet,Executive,Far Left,Elite	Zimbabwe	48834393	1	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
33943776	2019-01-18	Government (Azerbaijan)	Government	Azerbaijan	Consult	040	1	Emmerson Mnangagwa	(National) Major Party,Parties,Government,Defense / Security Ministry,Ideological,Executive Office,Cabinet,Executive,Far Left,Elite	Zimbabwe	48834393	2	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
33943778	2019-01-18	Emmerson Mnangagwa	(National) Major Party,Parties,Government,Defense / Security Ministry,Ideological,Executive Office,Cabinet,Executive,Far Left,Elite	Zimbabwe	Consult	040	1	Government (Azerbaijan)	Government	Azerbaijan	48834393	2	Turan Information Agency (Azerbaijan)	Baku		Baku City	Azerbaijan	40.3777	49.892
