Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33697806	2018-10-04	Sergey Kuzhugetovich Shoygu	Social,Defense / Security Ministry,National Ethnic Minority,Executive,Government,National Ethnic	Russian Federation	Make statement	010	0	Russia		Russian Federation	48334432	6	The Jerusalem Post				Russian Federation	55.7522	37.6156
33697829	2018-10-04	John R. Bolton	Parties,(National) Major Party,Information / Communication / Transparency NGOs,Center Right,Ideological,Nongovernmental Organizations / Activists	United States	Reduce relations	160	-4	Palestinian Territory, Occupied		Occupied Palestinian Territory	48334436	6	The Jerusalem Post			Washington D.C.	United States	38.9171	-77.0003
33697804	2018-10-04	Donald Trump	Executive,Executive Office,Government	United States	Criticize or denounce	111	-2	China		China	48334437	3	The Jerusalem Post	Beijing		Beijing Shi	China	39.9075	116.397
33697484	2018-10-04	Donald Trump	Executive,Executive Office,Government	United States	Consult	040	1	Benjamin Netanyahu	Ideological,Center Right,Executive,Government,Executive Office,Foreign Ministry,(National) Major Party,Parties,International Ethnic,Elite,Jews	Israel	48334439	1	The Jerusalem Post				United States	38.8951	-77.0364
33697485	2018-10-04	Benjamin Netanyahu	Ideological,Center Right,Executive,Government,Executive Office,Foreign Ministry,(National) Major Party,Parties,International Ethnic,Elite,Jews	Israel	Consult	040	1	Donald Trump	Executive,Executive Office,Government	United States	48334439	1	The Jerusalem Post				United States	38.8951	-77.0364
33697193	2018-10-04	Donald Trump	Executive,Executive Office,Government	United States	Praise or endorse	051	3.4	International			48334440	5	The Jerusalem Post	New York City		state of New York	United States	40.7143	-74.006
33697423	2018-10-04	United States		United States	Make statement	010	0	International Court of Justice	International Government Organization,Global,Global Law / Justice / Judicial IGOs,Global Diplomatic IGOs		48334449	5	The Jerusalem Post	Tehran		Tehran Province	Iran	35.6944	51.4215
33697833	2018-10-04	Angela Merkel	Protestant,Christian,Parties,(National) Major Party,Elite,Government,Center Right,Ideological,Executive Office,Executive,International Religious	Germany	Make a visit	042	1.9	Israel		Israel	48334450	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33697836	2018-10-04	Israel		Israel	Host a visit	043	2.8	Angela Merkel	Protestant,Christian,Parties,(National) Major Party,Elite,Government,Center Right,Ideological,Executive Office,Executive,International Religious	Germany	48334450	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33697834	2018-10-04	Germany		Germany	Criticize or denounce	111	-2	Israel		Israel	48334450	3	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33697835	2018-10-04	Germany		Germany	Reject	120	-4	United States		United States	48334450	5	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33697791	2018-10-04	Sweden		Sweden	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Citizen (Sweden)	Social,General Population / Civilian / Social	Sweden	48334724	4	Esmerk Swedish News				Sweden	59.3326	18.0649
33697095	2018-10-05	Citizen (United Kingdom)	Social,General Population / Civilian / Social	United Kingdom	Acknowledge or claim responsibility	015	0	United Kingdom		United Kingdom	48333966	6	London Evening Standard	Chelmsford	Essex	England	United Kingdom	51.7357	0.46958
