Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33823541	2018-11-23	Naftali Bennett	Government	Israel	Make statement	010	0	Israeli Defense Forces	Military,Government	Israel	48585093	5	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33823542	2018-11-23	Citizen (Israel)	General Population / Civilian / Social,Social	Israel	Use unconventional violence	180	-9	Israel		Israel	48585093	5	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33823543	2018-11-23	Israeli Defense Forces	Military,Government	Israel	fight with small arms and light weapons	193	-10	Protester (Israel)	Dissident,Protestors / Popular Opposition / Mobs	Israel	48585093	5	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33823527	2018-11-23	Israel		Israel	Consult	040	1	Ahmad Shuja Pasha		Pakistan	48585098	3	The Jerusalem Post	`Akko		Northern District	Israel	32.9281	35.0765
33823528	2018-11-23	Ahmad Shuja Pasha		Pakistan	Consult	040	1	Israel		Israel	48585098	3	The Jerusalem Post	`Akko		Northern District	Israel	32.9281	35.0765
33823650	2018-11-23	Citizen (Palestinian Territory, Occupied)	Social,General Population / Civilian / Social	Occupied Palestinian Territory	fight with small arms and light weapons	193	-10	Israeli Defense Forces	Military,Government	Israel	48585106	2	The Jerusalem Post				Israel	31.779	35.2253
33823651	2018-11-23	Citizen (Palestinian Territory, Occupied)	Social,General Population / Civilian / Social	Occupied Palestinian Territory	fight with small arms and light weapons	193	-10	Israeli Defense Forces	Military,Government	Israel	48585106	4	The Jerusalem Post				Israel	31.779	35.2253
33823560	2018-11-23	Ministry (Romania)	Government	Romania	Accuse	112	-2	Klaus Johannis	Protestors / Popular Opposition / Mobs,Dissident	Romania	48585114	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33823559	2018-11-23	Angela Merkel	Elite,Christian,Government,International Religious,Executive Office,Protestant,Parties,Executive,(National) Major Party,Ideological,Center Right	Germany	Make an appeal or request	020	3	Klaus Johannis	Protestors / Popular Opposition / Mobs,Dissident	Romania	48585114	5	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33823552	2018-11-23	Gilad Erdan	(National) Major Party,Parties,Defense / Security Ministry,Executive,Cabinet,Legislative / Parliamentary,Center Right,Ideological,Unicameral,Government	Israel	Make a visit	042	1.9	Germany		Germany	48585117	1	The Jerusalem Post				Germany	52.5244	13.4105
33823553	2018-11-23	Gilad Erdan	(National) Major Party,Parties,Defense / Security Ministry,Executive,Cabinet,Legislative / Parliamentary,Center Right,Ideological,Unicameral,Government	Israel	Make a visit	042	1.9	Italy		Italy	48585117	1	The Jerusalem Post				Italy	41.8947	12.4839
33823554	2018-11-23	Germany		Germany	Host a visit	043	2.8	Gilad Erdan	(National) Major Party,Parties,Defense / Security Ministry,Executive,Cabinet,Legislative / Parliamentary,Center Right,Ideological,Unicameral,Government	Israel	48585117	1	The Jerusalem Post				Germany	52.5244	13.4105
33823555	2018-11-23	Italy		Italy	Host a visit	043	2.8	Gilad Erdan	(National) Major Party,Parties,Defense / Security Ministry,Executive,Cabinet,Legislative / Parliamentary,Center Right,Ideological,Unicameral,Government	Israel	48585117	1	The Jerusalem Post				Italy	41.8947	12.4839
33823503	2018-11-23	Patricia Espinosa		Mexico	Make statement	010	0	Israel		Israel	48585118	2	The Jerusalem Post				Mexico	19.4285	-99.1277
33823589	2018-11-23	Oversight Court (Israel)	Judicial,Government	Israel	Arrest, detain, or charge with legal action	173	-5	Citizen (Israel)	General Population / Civilian / Social,Social	Israel	48585121	1	The Jerusalem Post	Ashqelon		Southern District	Israel	31.6693	34.5715
33823671	2018-11-23	Military (Palestinian Territory, Occupied)	Government,Military	Occupied Palestinian Territory	Make an appeal or request	020	3	Citizen (Palestinian Territory, Occupied)	Social,General Population / Civilian / Social	Occupied Palestinian Territory	48585123	1	The Jerusalem Post	Khan Yunis		Gaza Strip	Occupied Palestinian Territory	31.3402	34.3063
33823672	2018-11-23	Military (Palestinian Territory, Occupied)	Government,Military	Occupied Palestinian Territory	Make an appeal or request	020	3	Citizen (Palestinian Territory, Occupied)	Social,General Population / Civilian / Social	Occupied Palestinian Territory	48585123	3	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33823705	2018-11-25	Germany		Germany	Criticize or denounce	111	-2	Israel		Israel	48585078	3	The Jerusalem Post				Israel	31.779	35.2253
33823569	2018-11-25	Syria		Syria	Criticize or denounce	111	-2	Bashar al-Assad	National Ethnic Minority,International Religious,Social,National Religious,Religious Minority,Parties,(National) Major Party,Government,Executive Office,Executive,Shia,Ideological,Far Right,National Ethnic	Syria	48585079	4	The Jerusalem Post			Idlib	Syria	35.7667	36.6667
33823521	2018-11-25	International Criminal Court	Global Law / Justice / Judicial IGOs,Global,International Government Organization		Make an appeal or request	020	3	Fatou Bensouda	Global Law / Justice / Judicial IGOs,Global,International Government Organization,Social,Legal		48585080	2	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33823522	2018-11-25	Turkey		Turkey	Sign formal agreement	057	8	Israel		Israel	48585080	5	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33823523	2018-11-25	Israel		Israel	Sign formal agreement	057	8	Turkey		Turkey	48585080	5	The Jerusalem Post	Gaza		Gaza Strip	Occupied Palestinian Territory	31.5	34.4667
33823621	2018-11-25	Police (Israel)	Police,Government	Israel	Arrest, detain, or charge with legal action	173	-5	Criminal (Israel)	Dissident,Criminals / Gangs	Israel	48585084	1	The Jerusalem Post	Jaljulya		Central District	Israel	32.1547	34.9537
33823600	2018-11-25	Ministry of Defense	Defense / Security Ministry,Executive,Government	Syria	Consider policy option	014	0	Armed Rebel (Syria)	Dissident,Rebel	Syria	48585085	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33823601	2018-11-25	Ministry of Defense	Defense / Security Ministry,Executive,Government	Syria	Consult	040	1	Armed Rebel (Syria)	Dissident,Rebel	Syria	48585085	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33823604	2018-11-25	Ministry of Defense	Defense / Security Ministry,Executive,Government	Syria	Investigate	090	-2	Armed Rebel (Syria)	Dissident,Rebel	Syria	48585085	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33823605	2018-11-25	Armed Rebel (Syria)	Dissident,Rebel	Syria	Consult	040	1	Ministry of Defense	Defense / Security Ministry,Executive,Government	Syria	48585085	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
