Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33796451	2018-11-15	Treasury/Finance Ministry (France)	Government,Executive,Finance / Economy / Commerce / Trade Ministry	France	Make optimistic comment	013	0.4	Government (Italy)	Government	Italy	48531679	1	Reuters News				France	48.8534	2.3486
33796700	2018-11-15	Treasury/Finance Ministry (Ireland)	Government,Finance / Economy / Commerce / Trade Ministry,Executive	Ireland	Make statement	010	0	Ireland		Ireland	48532177	1	Reuters News				Ireland	53.344	-6.26719
33797152	2018-11-15	Senate (Argentina)	Upper House,Legislative / Parliamentary,Government	Argentina	Praise or endorse	051	3.4	Mauricio Macri	Elite,Municipal Party,Center Right,Ideological,Parties,Executive,Executive Office,Local,Municipal,Government	Argentina	48532783	2	Reuters - Noticias Latinoamericanas			Washington D.C.	United States	38.9171	-77.0003
33797151	2018-11-15	Christine Lagarde	Global Economic/Financial/Trade IGOs,(National) Major Party,Elite,Center Right,Ideological,Parties,International Government Organization,Global	France	Express intent to meet or negotiate	036	4	Mauricio Macri	Elite,Municipal Party,Center Right,Ideological,Parties,Executive,Executive Office,Local,Municipal,Government	Argentina	48532783	4	Reuters - Noticias Latinoamericanas	Buenos Aires		Ciudad Autonoma de Buenos Aires	Argentina	-34.6132	-58.3772
33797171	2018-11-15	International Monetary Fund	Global Economic/Financial/Trade IGOs,International Government Organization,Global		Express intent to meet or negotiate	036	4	Mauricio Macri	Elite,Municipal Party,Center Right,Ideological,Parties,Executive,Executive Office,Local,Municipal,Government	Argentina	48532815	4	Reuters News	Buenos Aires		Ciudad Autonoma de Buenos Aires	Argentina	-34.6132	-58.3772
33797180	2018-11-15	European Union	International Government Organization,Regional Diplomatic IGOs,Regional		Make statement	010	0	Tanzania		Tanzania	48532948	1	Reuters News	Brussels	(Bruxelles-Capitale)	Bruxelles-Capitale	Belgium	50.8504	4.34878
33796355	2018-11-17	Oscar Aguad	Executive,Defense / Security Ministry,Government	Argentina	Consult	040	1	Mauricio Macri	Parties,Executive,Executive Office,Government,Local,Municipal,Center Right,Ideological,Elite,Municipal Party	Argentina	48531578	1	El Clarin			Provincia de San Juan	Argentina	-31	-69
33796356	2018-11-17	Mauricio Macri	Parties,Executive,Executive Office,Government,Local,Municipal,Center Right,Ideological,Elite,Municipal Party	Argentina	Consult	040	1	Oscar Aguad	Executive,Defense / Security Ministry,Government	Argentina	48531578	1	El Clarin			Provincia de San Juan	Argentina	-31	-69
33796436	2018-11-17	United States		United States	Expel or deport individuals	174	-5	Fethullah Gulen	National Religious,Social,Education	Turkey	48531794	1	Al Jazeera English	Ankara		Ankara	Turkey	39.9199	32.8543
33796435	2018-11-17	Turkey		Turkey	Accuse	112	-2	Fethullah Gulen	National Religious,Social,Education	Turkey	48531794	2	Al Jazeera English	Ankara		Ankara	Turkey	39.9199	32.8543
