Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33923298	2019-01-09	Russia		Russian Federation	Express intent to meet or negotiate	036	4	United States		United States	48795692	1	Reuters News				Russian Federation	55.7522	37.6156
33924508	2019-01-09	Company - Owner or Operator (Brazil)	Business,Social	Brazil	Make pessimistic comment	012	-0.4	Head of Government (Brazil)	Executive,Executive Office,Government	Brazil	48797886	2	Reuters News	Brasilia	Brasilia	Distrito Federal	Brazil	-15.7797	-47.9297
33923705	2019-01-10	Media Personnel (Philippines)	Media,Social	Philippines	Make statement	010	0	Cabinet / Council of Ministers / Advisors (Philippines)	Government,Executive,Cabinet	Philippines	48796347	2	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33923386	2019-01-11	Legislature (Venezuela)	Government,Legislative / Parliamentary	Venezuela	Criticize or denounce	111	-2	Nicolás Maduro	Far Left,Elite,Ideological,Executive,(National) Major Party,Parties,Government,Cabinet,Executive Office	Venezuela	48795850	2	Al Jazeera English	Caracas	Municipio Libertador	Distrito Capital	Venezuela	10.488	-66.8792
33923384	2019-01-11	Citizen (Venezuela)	General Population / Civilian / Social,Social	Venezuela	Appeal for diplomatic cooperation (such as policy support)	022	3.4	Military (Venezuela)	Military,Government	Venezuela	48795850	4	Al Jazeera English	Caracas	Municipio Libertador	Distrito Capital	Venezuela	10.488	-66.8792
33923385	2019-01-11	Citizen (Venezuela)	General Population / Civilian / Social,Social	Venezuela	Appeal for diplomatic cooperation (such as policy support)	022	3.4	Citizen (Unidentified State Actor)	General Population / Civilian / Social,Social		48795850	4	Al Jazeera English	Caracas	Municipio Libertador	Distrito Capital	Venezuela	10.488	-66.8792
33923479	2019-01-11	Protester (Azerbaijan)	Dissident,Protestors / Popular Opposition / Mobs	Azerbaijan	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		48795922	1	Turan Information Agency (Azerbaijan)	Salyan		Salyan Rayon	Azerbaijan	39.5962	48.9848
33923463	2019-01-11	Foreign Affairs (Azerbaijan)	Foreign Ministry,Executive,Government	Azerbaijan	Criticize or denounce	111	-2	Maria Zakharova	Foreign Ministry,Executive,Government	Russian Federation	48795923	2	Turan Information Agency (Azerbaijan)	Turan		Respublika Tyva	Russian Federation	52.1449	93.9189
33923504	2019-01-11	Head of Government (Argentina)	Executive Office,Government,Executive	Argentina	Express intent to meet or negotiate	036	4	Governor (Argentina)	Provincial,Local,Government	Argentina	48796082	1	La Nacion	Villa La Angostura		Provincia del Neuquen	Argentina	-40.7617	-71.6463
33923505	2019-01-11	Criminal (Trinidad and Tobago)	Dissident,Criminals / Gangs	Trinidad and Tobago	Use unconventional violence	180	-9	Economist (Trinidad and Tobago)	Education,Social	Trinidad and Tobago	48796083	2	La Nacion	Las Canitas		Provincia de Cordoba	Argentina	-32.8667	-64.75
33923614	2019-01-11	Maithripala Sirisena	Government Major Party (In Government),(National) Major Party,Parties,Government,Executive Office,Defense / Security Ministry,Executive	Sri Lanka	Make a visit	042	1.9	Philippines		Philippines	48796344	1	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33923615	2019-01-11	Philippines		Philippines	Host a visit	043	2.8	Maithripala Sirisena	Government Major Party (In Government),(National) Major Party,Parties,Government,Executive Office,Defense / Security Ministry,Executive	Sri Lanka	48796344	1	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33923613	2019-01-11	Maithripala Sirisena	Government Major Party (In Government),(National) Major Party,Parties,Government,Executive Office,Defense / Security Ministry,Executive	Sri Lanka	Express intent to meet or negotiate	036	4	Business (Philippines)	Business,Social	Philippines	48796344	5	PNA (Philippines News Agency)	Los Banos	Province of Laguna	Calabarzon	Philippines	14.1798	121.223
33923672	2019-01-11	Communist Rebel (Philippines)	Insurgents,Communist,Dissident,Ideological	Philippines	Retreat or surrender militarily	0874	10	Government (Philippines)	Government	Philippines	48796346	1	PNA (Philippines News Agency)	Manila	City of Manila	National Capital Region	Philippines	14.6042	120.982
33923783	2019-01-11	Adil Abdul-Mahdi	Shia,International Religious		Make a visit	042	1.9	Energy Department/Ministry (Iran)	Energy Ministry,Executive,Government	Iran	48796606	1	United News of Bangladesh Limited				Iran	35.6944	51.4215
33923785	2019-01-11	Energy Department/Ministry (Iran)	Energy Ministry,Executive,Government	Iran	Host a visit	043	2.8	Adil Abdul-Mahdi	Shia,International Religious		48796606	1	United News of Bangladesh Limited				Iran	35.6944	51.4215
33923784	2019-01-11	Mike Pompeo	Foreign Ministry,Government,Executive	United States	Make a visit	042	1.9	Iraq		Iraq	48796606	4	United News of Bangladesh Limited	Baghdad		Muhafazat Baghdad	Iraq	33.3406	44.4009
33923786	2019-01-11	Iraq		Iraq	Host a visit	043	2.8	Mike Pompeo	Foreign Ministry,Government,Executive	United States	48796606	4	United News of Bangladesh Limited	Baghdad		Muhafazat Baghdad	Iraq	33.3406	44.4009
33923782	2019-01-11	Expatriate (Saudi Arabia)	Social,Refugees / Displaced	Saudi Arabia	Use unconventional violence	180	-9	Citizen (Saudi Arabia)	Social,General Population / Civilian / Social	Saudi Arabia	48796610	5	United News of Bangladesh Limited				Saudi Arabia	24.6877	46.7219
33923758	2019-01-11	Police (Bangladesh)	Government,Police	Bangladesh	fight with small arms and light weapons	193	-10	Thief (Bangladesh)	Criminals / Gangs,Dissident	Bangladesh	48796612	1	United News of Bangladesh Limited	Kishoreganj		Rangpur Division	Bangladesh	25.9036	89.0314
33923759	2019-01-11	Thief (Bangladesh)	Criminals / Gangs,Dissident	Bangladesh	fight with small arms and light weapons	193	-10	Police (Bangladesh)	Government,Police	Bangladesh	48796612	1	United News of Bangladesh Limited	Kishoreganj		Rangpur Division	Bangladesh	25.9036	89.0314
33924374	2019-01-11	Toronto Police Service	Government,Police,Municipal Divisions	Canada	Investigate	090	-2	Men (Canada)	General Population / Civilian / Social,Social	Canada	48797505	1	The Toronto Star	Toronto		Ontario	Canada	43.7001	-79.4163
33924528	2019-01-11	Denis Moses	Foreign Ministry,Government,Executive	Trinidad and Tobago	Engage in symbolic act	017	0	Nicolás Maduro	Far Left,Executive Office,Government,Cabinet,Executive,Ideological,(National) Major Party,Parties,Elite	Venezuela	48797967	2	Unknown	Trinidad		Estado Zulia	Venezuela	10.6833	-71.6667
33924570	2019-01-11	Business (Venezuela)	Business,Social	Venezuela	Consult	040	1	Stabroek News	Media,News,Social,Print News	Guyana	48797979	3	Unknown	Stabroek		Demerara-Mahaica Region	Guyana	6.8094	-58.1615
33924571	2019-01-11	Stabroek News	Media,News,Social,Print News	Guyana	Consult	040	1	Business (Venezuela)	Business,Social	Venezuela	48797979	3	Unknown	Stabroek		Demerara-Mahaica Region	Guyana	6.8094	-58.1615
33924564	2019-01-11	David Granger	Parties,(National) Major Party,Executive,Elite,Government,Executive Office	Guyana	Consult	040	1	Bharrat Jagdeo	Parties,Far Left,(National) Major Party,Ideological,Nationalist	Guyana	48797983	6	Unknown				Guyana	6.80448	-58.1553
33924565	2019-01-11	Bharrat Jagdeo	Parties,Far Left,(National) Major Party,Ideological,Nationalist	Guyana	Consult	040	1	David Granger	Parties,(National) Major Party,Executive,Elite,Government,Executive Office	Guyana	48797983	6	Unknown				Guyana	6.80448	-58.1553
33923325	2019-01-12	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Nurse (India)	Nongovernmental Organizations / Activists,Medical / Health NGOs	India	48795650	2	Hindustan Times	Barmer		State of Rajasthan	India	25.7457	71.3921
33923313	2019-01-12	India		India	Engage in material cooperation	060	6	United Kingdom		United Kingdom	48795651	1	Hindustan Times	New Delhi		National Capital Territory of Delhi	India	28.6358	77.2244
33923314	2019-01-12	India		India	Arrest, detain, or charge with legal action	173	-5	Men (United Kingdom)	Social,General Population / Civilian / Social	United Kingdom	48795651	4	Hindustan Times	New Delhi		National Capital Territory of Delhi	India	28.6358	77.2244
33923315	2019-01-12	Military Personnel (Thailand)	Government,Military	Thailand	Make optimistic comment	013	0.4	Citizen (Thailand)	Social,General Population / Civilian / Social	Thailand	48795654	6	Agence France-Presse	Pattani		Changwat Pattani	Thailand	6.86814	101.25
33923323	2019-01-12	Court Judge (Nicaragua)	Judicial,Government	Nicaragua	Make statement	010	0	Daniel Ortega	Executive Office,Far Left,Government,Parties,(National) Major Party,Executive,Elite,Ideological	Nicaragua	48795660	5	O Globo				Nicaragua	12.1328	-86.2504
33923324	2019-01-12	Court Judge (Nicaragua)	Judicial,Government	Nicaragua	Deny responsibility	016	-5	Government (Nicaragua)	Government	Nicaragua	48795660	5	O Globo				Nicaragua	12.1328	-86.2504
33923301	2019-01-12	Head of Government (Hungary)	Executive Office,Executive,Government	Hungary	Praise or endorse	051	3.4	Head of Government (Brazil)	Government,Executive Office,Executive	Brazil	48795668	1	O Globo				Hungary	47.498	19.0399
33923322	2019-01-12	Ciro Ferreira Gomes	(National) Major Party,Parties,Center Left,Ideological	Brazil	Criticize or denounce	111	-2	Citizen (Venezuela)	General Population / Civilian / Social,Social	Venezuela	48795680	5	O Globo				Venezuela	10.5	-66.9167
33923316	2019-01-12	The Times	Social,Media,Print News,News	United Kingdom	Make statement	010	0	Federal Bureau of Investigation	Executive,Justice / Law Ministry,Government	United States	48795695	6	Agence France-Presse	Moscow		Moskva	Russian Federation	55.7522	37.6156
33923305	2019-01-12	Attacker (Australia)	Dissident,Criminals / Gangs	Australia	Provide aid	070	7	Police (Australia)	Government,Police	Australia	48795697	6	Australian Associated Press				Australia	-35.2835	149.128
33923302	2019-01-12	Sauli Niinistö	Government,Executive Office,Executive,Elite	Finland	Express intent to meet or negotiate	036	4	China		China	48795700	1	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
33923318	2019-01-12	Royal Administration (Malaysia)	Government	Malaysia	Praise or endorse	051	3.4	Mahathir Mohamad	Executive Office,Elite,Government,Executive	Malaysia	48795703	1	Straits Times			Johor	Malaysia	2	103.5
33923300	2019-01-12	Saudi Arabia		Saudi Arabia	Express intent to meet or negotiate	036	4	Canada		Canada	48795709	1	Associated Press Newswires	Toronto		Ontario	Canada	43.7001	-79.4163
